LAMMPS Description  # full

	3431 atoms
	3 atom types
	48 bonds
	3 bond types

0.0 10.0 xlo xhi
0.0 10.0 ylo yhi
0.0 10.0 zlo zhi

Masses

1 1.0  # HR
2 1.0  # PR
3 1.0  # W

Atoms  # full

45	7	2	1.5075992689960978	1.9164709438816676	0.10226380304859477
46	7	2	0.9800003642022723	2.2939203301185778	0.9991315909762231
44	7	1	1.293391583881111	2.8042217658822137	0.4099511265130993
47	7	2	1.165276991097719	1.6146770771362833	1.4482360047564649
43	7	1	0.4961383662922631	2.096742112954668	0.4317015402326242
35	5	2	4.239501422037345	2.86709223600136	1.8404918577900231
42	6	2	8.0200237386355	7.040692714611815	9.99250103459356
41	6	2	7.638402969386284	7.847565537866949	0.1396187943756753
48	7	2	1.6920114829707056	2.4774456793536435	1.5794338245886084
49	7	2	1.6116533390401215	2.035210805631142	2.800102613072473
32	5	2	3.336819676990089	3.304607707736616	2.120046240957307
34	5	2	4.241032796773928	3.5905140270422575	2.379413254987904
33	5	2	3.5292147874480806	4.133338063805035	1.8802618691065904
31	5	2	3.890202684535833	4.096297162144144	2.6782440075322143
24	4	2	4.810948081206039	6.213102260351874	2.2762686528722393
28	4	2	2.978337694238239	6.295152535415524	2.0759153156893126
27	4	2	2.3667870849524464	6.654659935441531	2.4459189604825
25	4	2	4.041848537657873	6.3061661983691515	2.363836135264011
3	1	2	1.8723095126088336	8.656997831479535	2.63186378610711
4	1	2	2.6722233669043405	7.966850727754671	2.2560303002015445
14	2	2	7.295990554698247	9.51912612021949	3.7178913062360475
30	5	1	2.9902561719201146	4.6054812750307965	3.273280935760367
29	5	1	2.2838747873072616	4.732690691786191	3.9613815950883517
22	4	1	5.98396990172514	5.127076274519846	3.4230936600797675
23	4	1	5.713145850239126	5.656316862122449	2.6875397233866423
26	4	2	3.2801847372523816	6.869555278132765	2.7677497092668903
9	2	1	6.671725557979642	6.719849126334108	4.246609016092863
2	1	1	2.4493530309711127	8.027820251830242	3.0006076519381177
5	1	2	2.6231069549804635	8.305370148646208	3.1841048563354497
19	3	2	4.724149883808585	7.738180146367558	3.7035861055455235
21	3	2	6.032768917673332	7.863876980730438	3.488312600614461
10	2	2	7.591975261239251	7.0642243236698015	4.245062199045132
12	2	2	7.9954498267869205	7.884660281211012	3.6369930943623294
1	1	1	1.5685581196484968	8.459098466080402	3.420568437719411
6	1	2	2.391495224777931	8.692281892892478	4.048693123198424
17	3	2	4.5311913488000535	8.739913671273255	3.256965448302101
20	3	2	5.385592172283355	8.033297219818783	4.2503245017360225
13	2	2	7.257417555378173	8.470178781296477	3.5165030884482054
8	2	1	7.539484594008751	6.979760008449573	4.868517538789362
7	1	2	3.0112431042458003	8.11542310871233	4.582500043608063
18	3	2	5.201113932331184	8.738934128572438	3.8373493613820258
11	2	2	8.026039591082942	7.639007534844694	4.771825965572021
15	3	1	3.9396279683114415	9.762391383550016	4.240370508341175
16	3	1	4.6468854436927955	9.203386929285465	4.115720992302712
53	8	2	7.5353904291303495	1.3344862378171318	7.94341542537495
52	8	2	7.705099595235567	0.9707081339272946	6.993896282258434
55	8	2	8.335274991331755	0.6748559493812177	8.566401658388395
51	8	1	8.213395610789126	1.8146710253688367	7.2364278695974695
54	8	2	8.314532410342986	1.853117265856951	8.34638308859636
50	8	1	9.27634189873904	1.496402290410516	7.39495224819349
37	6	1	8.619731555897465	6.638870277779986	8.50699548725828
36	6	1	7.814418256290631	6.562991976087551	7.843266965234439
56	8	2	7.305926116829055	0.4313280170964289	8.476544797053293
39	6	2	6.926482304464878	6.8515806503978895	9.063786181424272
38	6	2	7.807093418519753	6.585769781090152	8.986321090286301
40	6	2	6.548584254994333	7.603846976375757	9.816819830803182
57	9	3	0.0	0.0	0.0
58	10	3	0.0	0.0	0.7142857142857143
59	11	3	0.0	0.0	1.4285714285714286
60	12	3	0.0	0.0	2.142857142857143
61	13	3	0.0	0.0	2.857142857142857
62	14	3	0.0	0.0	3.5714285714285716
63	15	3	0.0	0.0	4.285714285714286
64	16	3	0.0	0.0	5.0
65	17	3	0.0	0.7142857142857143	0.0
66	18	3	0.0	0.7142857142857143	0.7142857142857143
67	19	3	0.0	0.7142857142857143	1.4285714285714286
68	20	3	0.0	0.7142857142857143	2.142857142857143
69	21	3	0.0	0.7142857142857143	2.857142857142857
70	22	3	0.0	0.7142857142857143	3.5714285714285716
71	23	3	0.0	0.7142857142857143	4.285714285714286
72	24	3	0.0	0.7142857142857143	5.0
73	25	3	0.0	1.4285714285714286	0.0
74	26	3	0.0	1.4285714285714286	0.7142857142857143
75	27	3	0.0	1.4285714285714286	1.4285714285714286
76	28	3	0.0	1.4285714285714286	2.142857142857143
77	29	3	0.0	1.4285714285714286	2.857142857142857
78	30	3	0.0	1.4285714285714286	3.5714285714285716
79	31	3	0.0	1.4285714285714286	4.285714285714286
80	32	3	0.0	1.4285714285714286	5.0
81	33	3	0.0	2.142857142857143	0.0
82	34	3	0.0	2.142857142857143	0.7142857142857143
83	35	3	0.0	2.142857142857143	1.4285714285714286
84	36	3	0.0	2.142857142857143	2.142857142857143
85	37	3	0.0	2.142857142857143	2.857142857142857
86	38	3	0.0	2.142857142857143	3.5714285714285716
87	39	3	0.0	2.142857142857143	4.285714285714286
88	40	3	0.0	2.142857142857143	5.0
89	41	3	0.0	2.857142857142857	0.0
90	42	3	0.0	2.857142857142857	0.7142857142857143
91	43	3	0.0	2.857142857142857	1.4285714285714286
92	44	3	0.0	2.857142857142857	2.142857142857143
93	45	3	0.0	2.857142857142857	2.857142857142857
